,Company Name,Role,Location,Start Date,Duration,Stipend,Skills
0,Heterize Infotech Private Limited,Human Resources (HR),Indore,Immediately,6 Months,"₹ 3,000-5,000 /month",[]
1,TheHealthMechanix,Marketing,Delhi,Immediately,2 Months,"₹ 5,000-8,000 /month",[]
2,Heterize Infotech Private Limited,E-Commerce Catalog Management,Indore,Immediately,4 Months,"₹ 4,000-10,000 /month",[]
3,Heterize Infotech Private Limited,Business Development,Indore,Immediately,3 Months,"₹ 8,000 /month +  Incentives",[]
4,Odisha Development Management Programme (ODMP),Fundraising,Work From Home,Immediately,1 Week,"₹ 225-5,000 /week",[]
5,Tare Zameen Foundation,Fundraising,Work From Home,Immediately,1 Month,"₹ 1,000 /month +  Incentives",[]
6,Triedge Platform Services Private Limited,Business Development (Sales),"Ghaziabad,Gurgaon,Noida",Immediately,6 Months,"₹ 6,000 /month +  Incentives",[]
7,Team Everest,Curriculum Writing,Work From Home,Immediately,2 Weeks,Unpaid,[]
8,Team Car Delight,Video Making/Editing,Work From Home,Immediately,6 Months,"₹ 10,000-25,000 /month",[]
9,Hamari Pahchan NGO,Social Entrepreneurship,Work From Home,Immediately,1 Month,Unpaid,[]
10,Lawtech,Academic Counseling (Tele Calling),Work From Home,Immediately,3 Months,"₹ 10,000 /month",[]
11,QANinjas,Business Development (Sales),"Mumbai,Gujarat",Immediately,6 Months,"₹ 8,000-10,000 /month",[]
12,QANinjas,Digital Marketing,"Gujarat,Mumbai",Immediately,6 Months,"₹ 8,000-10,000 /month",[]
13,QANinjas,Content Writing,"Mumbai,Gujarat",Immediately,6 Months,"₹ 8,000-10,000 /month",[]
14,QANinjas,Graphic Design,"Mumbai,Gujarat",Immediately,6 Months,"₹ 8,000-10,000 /month",[]
15,QANinjas,QA Manual Testing,"Mumbai,Gujarat",Immediately,6 Months,"₹ 8,000-10,000 /month",[]
16,QANinjas,QA Automation Testing,"Mumbai,Gujarat",Immediately,6 Months,"₹ 8,000-10,000 /month",[]
17,Uboard India Limited,Human Resources (HR),Delhi,Immediately,4 Months,"₹ 7,000-9,000 /month",[]
18,QANinjas,Laravel Development,"Mumbai,Gujarat",Immediately,6 Months,"₹ 8,000-10,000 /month",[]
19,QANinjas,WordPress Development,"Mumbai,Gujarat",Immediately,6 Months,"₹ 8,000-10,000 /month",[]
